subject,predicate,object,truth,adamic_adar,katz,degree_product,kl_rel,jaccard,kl,simrank,pathent,ks,pra,predpath,ensemble_score
http://dbpedia.org/resource/Ivan_Bunin,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Paris,1,0.090548,0.959125,181206.0,0.110449,9.9e-05,0.059537,0.000466,2341.764899,0.042775,1.0,1.0,0.731525043841272
"http://dbpedia.org/resource/Diana,_Princess_of_Wales",http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Paris,1,0.352956,0.002625,221474.0,0.13376,9.9e-05,0.076627,0.00011,27.666072,0.0513,1.0,1.0,0.731297712348018
"http://dbpedia.org/resource/Francis_II,_Holy_Roman_Emperor",http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Vienna,1,0.936018,0.01,127710.0,0.099847,0.000513,0.08818,0.000196,577.921317,0.084247,1.0,1.0,0.7314391360861606
http://dbpedia.org/resource/John_von_Neumann,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Washington,_D.C.",1,0.084576,0.559,1187272.0,0.108658,0.000121,0.067315,7.9e-05,1556.222109,0.070058,1.0,1.0,0.731493783745878
http://dbpedia.org/resource/Jean-Jacques_Rousseau,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Ermenonville,1,0.0,0.001,260.0,0.062305,0.0,0.072277,0.00081,122.381917,0.025771,1.0,1.0,0.7306968383771263
http://dbpedia.org/resource/John_Stuart_Mill,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Avignon,1,0.417032,0.006125,15876.0,0.253583,0.003623,0.11526,0.000156,1164.859764,0.087788,1.0,1.0,0.7314895366845862
http://dbpedia.org/resource/Benoit_Mandelbrot,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Cambridge,_Massachusetts",1,0.0,0.001375,15924.0,0.094014,0.0,0.081741,4.5e-05,286.772112,0.058357,1.0,1.0,0.7307232652810374
http://dbpedia.org/resource/Alfonso_IV_of_Aragon,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Barcelona,1,0.0,0.0005,27440.0,0.127073,0.0,0.073844,6.1e-05,215.890256,0.041681,1.0,1.0,0.7307171772672159
http://dbpedia.org/resource/Frédéric_Bastiat,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Rome,1,0.146887,0.139,107117.0,0.12102,0.000158,0.062315,8.1e-05,9899.634759,0.036324,1.0,1.0,0.73165139173294
http://dbpedia.org/resource/Adelaide_of_Italy,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Alsace,1,0.0,0.001375,2223.0,0.100321,0.0,0.07767,9.3e-05,201.066982,0.059514,1.0,1.0,0.7307161054585625
http://dbpedia.org/resource/Hawley_Harvey_Crippen,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/London,1,0.096664,0.910875,91208.0,0.178586,4.4e-05,0.065432,0.000512,2652.600683,0.068404,1.0,1.0,0.7315409637568959
http://dbpedia.org/resource/Joseph_Conrad,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Bishopsbourne,1,0.123816,0.00375,192.0,0.107904,0.027027,0.092011,0.000957,149.336756,0.040679,1.0,1.0,0.7313357308289683
http://dbpedia.org/resource/Aaliyah,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Marsh_Harbour,1,0.5092,0.006625,432.0,0.24745,0.033333,0.169129,0.001591,387.993775,0.099381,1.0,1.0,0.7314010212429642
http://dbpedia.org/resource/John_A._Macdonald,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Ottawa,1,0.71473,0.406375,174655.0,0.271685,0.001091,0.092233,0.00044,2875.252436,0.136899,1.0,1.0,0.7315558866753927
http://dbpedia.org/resource/Irenaeus,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Lyon,1,0.648658,0.090875,12696.0,0.296869,0.001873,0.102502,0.00092,4319.606404,0.092589,1.0,0.0,0.7299036715374185
http://dbpedia.org/resource/Fay_Wray,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/New_York_City,1,0.276938,0.009875,1415469.0,0.182801,4.2e-05,0.068044,2.8e-05,1091.232642,0.074588,1.0,1.0,0.7314875740197629
http://dbpedia.org/resource/Austen_Henry_Layard,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/London,1,0.712288,0.06475,342030.0,0.203318,0.000131,0.074978,0.000296,4371.957919,0.078408,1.0,1.0,0.7315993369353658
http://dbpedia.org/resource/Bernardo_O'Higgins,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Lima,1,0.937034,0.006875,34986.0,0.303154,0.001187,0.097944,0.000686,423.898753,0.11598,1.0,1.0,0.7314151441446383
http://dbpedia.org/resource/Henry_Moseley,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Gelibolu,1,0.0,0.000875,336.0,0.096501,0.0,0.075922,6.5e-05,151.950499,0.038365,1.0,1.0,0.7306983996334465
http://dbpedia.org/resource/George_Frideric_Handel,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/London,1,0.096664,0.91125,364832.0,0.151815,4.4e-05,0.063236,0.000164,2348.902413,0.06881,1.0,1.0,0.7315262575003799
http://dbpedia.org/resource/Joris_Ivens,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Paris,1,0.0,0.007625,231541.0,0.123564,0.0,0.064847,0.000203,4492.551394,0.070293,1.0,1.0,0.7308154484801529
http://dbpedia.org/resource/Alexander_Kerensky,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/New_York_City,1,0.100422,1.107375,743721.0,0.115608,4.2e-05,0.067251,4.8e-05,2424.559422,0.06948,1.0,1.0,0.7315310273742965
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Paris,1,0.0,0.003,120804.0,0.121474,0.0,0.061882,5.2e-05,564.08977,0.05257,1.0,0.0,0.7301769995981008
http://dbpedia.org/resource/Joe_Strummer,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Broomfield,_Somerset",1,0.0,0.000125,715.0,0.054807,0.0,0.059163,4.3e-05,-2.521487,0.023438,1.0,1.0,0.7306662184055909
http://dbpedia.org/resource/Amerigo_Vespucci,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Seville,1,0.0,0.00125,5416.0,0.128862,0.0,0.071116,5.3e-05,226.454277,0.048388,1.0,1.0,0.73071979909371
http://dbpedia.org/resource/James_Wilkinson,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Mexico_City,1,0.700454,0.7095,124180.0,0.805068,0.000673,0.106414,0.00024,3476.420921,0.144121,1.0,1.0,0.7315590352749941
http://dbpedia.org/resource/Henry_I_of_England,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Lyons-la-Forêt,1,0.0,0.0,66.0,0.067183,0.0,0.08401,0.000539,-18.354823,0.032814,1.0,1.0,0.7306538217619312
http://dbpedia.org/resource/J._R._R._Tolkien,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Bournemouth,1,0.685235,0.013875,59670.0,0.30864,0.003478,0.112574,0.000124,1166.61031,0.112099,1.0,1.0,0.7314895833782679
http://dbpedia.org/resource/Arthur_de_Gobineau,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Turin,1,0.12629,0.026875,13959.0,0.106684,0.000782,0.06225,6.9e-05,4577.412179,0.042252,1.0,0.0,0.7299034054254447
http://dbpedia.org/resource/Eugene_Wigner,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Princeton,_New_Jersey",1,0.0,0.002,7845.0,0.082181,0.0,0.084006,0.000153,314.774106,0.064601,1.0,1.0,0.7307247169136324
http://dbpedia.org/resource/André_Weil,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Princeton,_New_Jersey",1,0.0,0.005375,9414.0,0.086969,0.0,0.071613,7.7e-05,703.115319,0.053066,1.0,0.0,0.7301760731978952
"http://dbpedia.org/resource/Albert_VII,_Archduke_of_Austria",http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Brussels,1,0.0,0.00025,29040.0,0.099415,0.0,0.088681,0.000163,34.054133,0.070735,1.0,1.0,0.7306815733025157
http://dbpedia.org/resource/Catherine_of_Aragon,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Huntingdonshire,1,0.0,0.0,885.0,0.061087,0.0,0.062229,8.5e-05,-14.609705,0.034572,1.0,1.0,0.7306609690444754
http://dbpedia.org/resource/Anton_Chekhov,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Badenweiler,1,0.0,0.0005,1188.0,0.122548,0.0,0.100484,4.2e-05,61.520854,0.048992,1.0,1.0,0.7306877978966813
http://dbpedia.org/resource/John_A._Roebling,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/New_York_City,1,0.360674,0.0055,167937.0,0.170577,4.2e-05,0.07216,0.000329,456.799696,0.051095,1.0,1.0,0.7314247023697147
http://dbpedia.org/resource/Cornelius_Johnson_(artist),http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Utrecht,1,0.105762,0.06625,2444.0,0.126003,0.001629,0.069679,0.000358,4277.485803,0.035727,1.0,1.0,0.7315986502617423
http://dbpedia.org/resource/C._S._Forester,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Fullerton,_California",1,0.0,0.0,5376.0,0.056252,0.0,0.049811,3.1e-05,-12.007066,0.031826,1.0,1.0,0.7306649992532298
http://dbpedia.org/resource/Emma_Goldman,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Toronto,1,0.0,0.002125,280832.0,0.079907,0.0,0.059939,2.6e-05,309.403521,0.037154,1.0,1.0,0.7307243957498355
"http://dbpedia.org/resource/Christina,_Queen_of_Sweden",http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Rome,1,0.0,0.0,37806.0,0.074796,0.0,0.051437,2.2e-05,-9.193915,0.039977,1.0,1.0,0.7306659180861479
http://dbpedia.org/resource/Gregory_Bateson,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/San_Francisco,1,0.217147,0.005375,262150.0,0.113481,0.000185,0.073474,8.1e-05,449.960038,0.071448,1.0,1.0,0.7314238253127269
http://dbpedia.org/resource/Eduard_von_Böhm-Ermolli,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Opava,1,0.0,0.0,1023.0,0.062368,0.0,0.060184,3.2e-05,-14.400655,0.033384,1.0,1.0,0.730661529737213
