subject,predicate,object,truth,adamic_adar,katz,jaccard,kl_rel,degree_product,kl,ks,simrank,pathent,pra,predpath,ensemble_score
http://dbpedia.org/resource/Nancy_Pedersen,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Genetic_epidemiology,1,0.0,0.00025,0.0,0.14058,98.0,0.126331,0.078227,7.7e-05,35.51999,0.0,1.0,0.34308965773809713
http://dbpedia.org/resource/Pierre_Roubertoux,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Behavioural_genetics,1,0.0,0.00225,0.0,0.092339,474.0,0.098455,0.040683,0.000159,461.56312,1.0,0.0,0.9965494791666667
http://dbpedia.org/resource/Ronald_Akers,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Criminology,1,0.434294,0.00725,0.004808,0.128563,1800.0,0.116267,0.096244,0.000523,842.583737,1.0,1.0,0.9965494791666667
http://dbpedia.org/resource/Maxwell_McCombs,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Political_communication,1,0.0,0.000125,0.0,0.135182,63.0,0.110489,0.046546,7.4e-05,6.380906,0.0,0.0,0.34308965773809713
http://dbpedia.org/resource/Rasmus_Nielsen_(biologist),http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Statistical_genetics,1,0.0,0.000125,0.0,0.080044,168.0,0.070339,0.028879,8.9e-05,0.791961,0.0,0.0,0.34308965773809713
http://dbpedia.org/resource/Robert_H._Grubbs,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Organic_chemistry,1,0.96054,0.014375,0.007407,0.131967,5040.0,0.120175,0.120905,0.000516,2482.75743,0.0,1.0,0.34308965773809713
http://dbpedia.org/resource/Wilmatte_Porter_Cockerell,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Entomology,1,0.0,0.000125,0.0,0.06253,1924.0,0.058104,0.030126,0.000412,1.190628,0.0,0.0,0.34308965773809713
http://dbpedia.org/resource/Norman_Rostoker,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Plasma_(physics),1,1.090617,0.01175,0.015385,0.23191,756.0,0.138455,0.145611,0.00232,2515.781686,1.0,0.0,0.9965494791666667
http://dbpedia.org/resource/Nelson_Cowan,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Psychology,1,0.0,0.0125,0.0,0.151151,13404.0,0.090392,0.109613,0.000187,2251.31598,1.0,0.0,0.9965494791666667
http://dbpedia.org/resource/Ronald_V._Clarke,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Criminology,1,0.0,0.00075,0.0,0.102169,1200.0,0.095347,0.049142,7.6e-05,137.247423,1.0,0.0,0.9965494791666667
http://dbpedia.org/resource/W._G._Unruh,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Theoretical_physics,1,0.621335,0.00775,0.002519,0.170817,5005.0,0.116786,0.100993,0.000375,1290.532905,0.0,1.0,0.34308965773809713
http://dbpedia.org/resource/Michael_Wertheimer_(psychologist),http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Psychology,1,0.0,0.006125,0.0,0.111111,5585.0,0.085062,0.059027,5.5e-05,895.578617,1.0,0.0,0.9965494791666667
http://dbpedia.org/resource/William_Nordhaus,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Environmental_economics,1,0.721348,0.003125,0.02439,0.210652,272.0,0.169129,0.091967,0.0016,129.799476,0.0,1.0,0.34308965773809713
http://dbpedia.org/resource/Vladimir_Lobashev,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Particle_physics,1,0.0,0.007875,0.0,0.142839,2730.0,0.094906,0.088354,9e-05,1529.449963,1.0,1.0,0.9965494791666667
http://dbpedia.org/resource/Shinobu_Kitayama,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Social_psychology,1,0.558111,0.005375,0.005291,0.168789,1281.0,0.124981,0.132195,0.001137,491.726549,1.0,0.0,0.9965494791666667
http://dbpedia.org/resource/Vincenzo_Di_Nicola,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/A_Stranger_in_the_Family,0,1.196239,0.0185,0.0625,0.77362,120.0,0.41906,0.780772,0.006794,8182.817645,0.0,0.0,0.3426339285714305
http://dbpedia.org/resource/Robert_H._Grubbs,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Organometallic_chemistry,0,1.157815,0.011625,0.042254,0.127905,1080.0,0.133799,0.128662,0.001247,557.094952,0.0,1.0,0.34308965773809713
http://dbpedia.org/resource/William_Nordhaus,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Stern_Review,0,0.0,0.0,0.0,0.026585,8.0,0.074049,0.018069,5.3e-05,-21.399215,0.0,0.0,0.039981617647058834
http://dbpedia.org/resource/Lawrence_B._Mohr,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Public_policy,0,0.0,0.002,0.0,0.106738,894.0,0.076255,0.035713,0.000156,280.063288,0.0,1.0,0.34308965773809713
